ISSN|area|titulo|estrato|ano
1519-504X|ECONOMIA|Revista de Estudos Sociais (UFMT)|B5|2008
0102-6437|ECONOMIA|Revista de Estudos Universitárias (Sorocaba)|B5|2008
1809-2640|ECONOMIA|Revista de Gestão da Tecnologia e Sistemas de Informação (Impresso)|C|2008
1982-3967|ECONOMIA|Revista de Informação Contábil (UFPE)|C|2008
0252-0257|ECONOMIA|Revista de la CEPAL (Impresa)|B2|2008
1413-4969|ECONOMIA|Revista de Politica Agricola|B5|2008
0101-823X|ECONOMIA|Revista de Previdência Social|C|2008
0034-8910|ECONOMIA|Revista de Saúde Pública (Impresso)|B5|2008
1646-6896|ECONOMIA|Revista del Instituto Internacional de Costos|C|2008
1807-2062|ECONOMIA|Revista Desenbahia|B5|2008
1415-2061|ECONOMIA|Revista do CCEI|B5|2008
1517-1957|ECONOMIA|Revista do IBRAC|C|2008
1984-6606|ECONOMIA|Revista Economia & Gestão|B5|2008
1808-0618|ECONOMIA|Revista Economia em Debate (URCA)|C|2008
0100-4956|ECONOMIA|Revista Econômica do Nordeste|B3|2008
1677-9479|ECONOMIA|Revista Gestão & Tecnologia|B5|2008
1808-0448|ECONOMIA|Revista Gestão Industrial|B5|2008
1982-257X|ECONOMIA|Revista IDEAS|B5|2008
0872-2587|ECONOMIA|Revista Internacional de Língua Portuguesa|B2|2008
1518-8434|ECONOMIA|Revista Internacional de Língua Portuguesa (Pelotas)|C|2008
1519-1753|ECONOMIA|Revista Jurídica da Universidade de Cuiabá|C|2008
0556-6916|ECONOMIA|Revista Paranaense de Desenvolvimento|B5|2008
1984-4867|ECONOMIA|Revista Turismo em Análise|B3|2008
0103-9989|ECONOMIA|Revista USP|B5|2008
1315-6411|ECONOMIA|Revista Venezolana de Economía y Ciencias Sociales|B4|2008
0373-2630|ECONOMIA|Revue d'Économie Politique (Paris)|B5|2008
0180-7307|ECONOMIA|Revue d'Économie Régionale et Urbaine|B3|2008
1634-7056|ECONOMIA|Revue Sciences de Gestion|B5|2008
1645-0264|ECONOMIA|RGE. Revista de Gestão e Economia|C|2008
1679-592X|ECONOMIA|RILA. Revista de Integração Latino-Americana|B5|2008
1415-4722|ECONOMIA|Rumos (Rio de Janeiro)|C|2008
0917-0553|ECONOMIA|RURDS. Review of Urban and Regional Development Studies (Print)|B4|2008
1980-1998|ECONOMIA|Ruris (Campinas)|B4|2008
1517-9079|ECONOMIA|RVeconomia (Rio Verde)|B5|2008
1980-5160|ECONOMIA|S & G. Sistemas & Gestão|B5|2008
0036-8237|ECONOMIA|Science & Society (New York, N.Y. 1936)|B3|2008
0036-9292|ECONOMIA|Scottish Journal of Political Economy (Print)|B3|2008
1138-9788|ECONOMIA|Scripta Nova (Barcelona)|B2|2008
1808-8023|ECONOMIA|Segurança Alimentar e Nutricional|B5|2008
1809-9815|ECONOMIA|Sinais Sociais|B4|2008
0921-898X|ECONOMIA|Small Business Economics|B3|2008
1573-0913|ECONOMIA|Small Business Economics (Dordrecht. Online)|B5|2008
0176-1714|ECONOMIA|Social Choice and Welfare|A2|2008
1415-8566|ECONOMIA|Sociedade e Cultura (Impresso)|B5|2008
0038-1098|ECONOMIA|Solid State Communications|B2|2008
0038-4038|ECONOMIA|Southern Economic Journal|B1|2008
0954-349X|ECONOMIA|Structural Change and Economic Dynamics|B1|2008
0039-3606|ECONOMIA|Studies in Comparative International Development|B4|2008
0707-8552|ECONOMIA|Studies in Political Economy|B4|2008
1678-3697|ECONOMIA|TD. Teoria e Debate|B4|2008
0308-5961|ECONOMIA|Telecommunications Policy|B4|2008
0104-0960|ECONOMIA|Teoria e Evidencia Economica (UPF)|B5|2008
0997-5551|ECONOMIA|Terminal (Paris. 1987)|C|2008
0103-6017|ECONOMIA|Textos de Economia|B5|2008
0002-8282|ECONOMIA|The American Economic Review|A1|2008
0570-1864|ECONOMIA|The Annals of Regional Science|B1|2008
1935-1682|ECONOMIA|The B.E. Journal of Economic Analysis & Policy|B3|2008
1935-1690|ECONOMIA|The B.E. Journal of Macroeconomics|B3|2008
0273-3072|ECONOMIA|The Cato Journal|B5|2008
1681-8997|ECONOMIA|The Empirical Economics Letters|B5|2008
0195-6574|ECONOMIA|The Energy Journal (Cambridge, Mass.)|B1|2008
0021-9398|ECONOMIA|The Journal of Business (Chicago)|A2|2008
0022-0485|ECONOMIA|The Journal of Economic Education|B2|2008
0022-0507|ECONOMIA|The Journal of Economic History|B1|2008
0895-3309|ECONOMIA|The Journal of Economic Perspectives|A1|2008
0022-1082|ECONOMIA|The Journal of Finance (New York. Print)|A1|2008
0022-166X|ECONOMIA|The Journal of Human Resources|A2|2008
0022-2186|ECONOMIA|The Journal of Law & Economics|A2|2008
1384-1289|ECONOMIA|The Journal of Policy Reform|B2|2008
1053-5357|ECONOMIA|The Journal of Socio-economics|B5|2008
0033-5533|ECONOMIA|The Quarterly Journal of Economics|A1|2008
1062-9769|ECONOMIA|The Quarterly Review of Economics and Finance|B3|2008
0741-6261|ECONOMIA|The Rand Journal of Economics|A1|2008
0034-6446|ECONOMIA|The Review of Black Political Economy|B3|2008
0034-6535|ECONOMIA|The Review of Economics and Statistics|A1|2008
0893-9454|ECONOMIA|The Review of Financial Studies|A1|2008
0034-6586|ECONOMIA|The Review of Income and Wealth|B1|2008
0486-6134|ECONOMIA|The Review of Radical Political Economics|A2|2008
0347-0520|ECONOMIA|The Scandinavian Journal of Economics|B1|2008
0258-6770|ECONOMIA|The World Bank Economic Review (Print)|B1|2008
0257-3032|ECONOMIA|The World Bank Research Observer (Print)|B3|2008
0040-747X|ECONOMIA|Tijdschrift voor Economische en Sociale Geografie / Dutch Journal of Economic and Social Geography|B4|2008
0965-8564|ECONOMIA|Transportation Research. Part A, Policy and Practice|A2|2008
0041-3011|ECONOMIA|Trimestre Económico|B3|2008
1014-370X|ECONOMIA|UNCTAD Review|B4|2008
1517-9427|ECONOMIA|UNOPAR Científica. Ciências Jurídicas e Empresariais|C|2008
0957-1787|ECONOMIA|Utilities Policy|B1|2008
1870-2953|ECONOMIA|Well-Being and Social Policy|B5|2008
0305-750X|ECONOMIA|World Development|B1|2008
0378-5920|ECONOMIA|World Economy (Print)|B2|2008
